country,start_gdp,electr_gdp,totalec_gdp,case
Belgium,5.2,92.5,97.7,1
Bulgaria,1,341.3,342.3,2
Chile,0.7,63.9,64.6,3
Ethiopia,101,1888,1989,4
Finland,1.1,29.6,30.7,5
France,0.9,43.2,44.1,6
Ghana,23.3,2295.3,2318.6,7
Hungary,8.6,116.4,125,8
Italy,14.2,215.9,230.1,9
Kenya,38.2,1081.3,1119.5,10
Latvia,1.9,326.1,328,11
Peru,9.5,353.7,363.2,12
Portugal,2.4,53.6,56,13
Romania,2.4,74.1,76.5,14
Salvador,44.6,561.9,606.5,15
Spain,5,221.3,226.3,16
Colombia,7.5,541.6,549.1,17
India,41.2,611.6,652.8,18
Malaysia,7.6,33,40.6,19
Bangladesh,18.8,4359.7,4378.5,20
Pakistan,10.4,1477.1,1487.5,21
