"","isic2mode","isic4_2mode","emp","firms","estab","firm_share","emp_share","estab_share","avsize_firms","avsize_estab"
"1",15,10,1581202,25935,30001,0.0908941163276464,0.121119611976518,0.0944027338120441,60.9678812415655,52.7049765007833
"2",16,12,17384,85,109,0.00029789858831116,0.00133160932923167,0.000342985166678204,204.517647058824,159.48623853211
"3",17,13,492748,15531,16277,0.0544313291183604,0.0377443530695035,0.0512180693396434,31.7267400682506,30.2726546660933
"4",18,14,158023,9023,9148,0.0316228113215482,0.0121045157060042,0.0287855807777267,17.5133547600576,17.274048972453
"5",19,15,31785,1118,1148,0.00391824260861032,0.00243472172857966,0.00361235753528971,28.4302325581395,27.6872822299652
"6",20,16,584888,16519,18341,0.0578939621213183,0.0448022501930313,0.0577127609361922,35.40698589503,31.8896461479745
"7",21,17,789960,18404,20674,0.0645003014032776,0.0605107055752332,0.0650539021642679,42.9232775483591,38.2103124697688
"9",23,19,239733,1491,1876,0.00522549170790518,0.0183634778718763,0.00590312085035148,160.786720321932,127.789445628998
"10",24,20,760300,11163,14071,0.039122846368441,0.0582387582268087,0.0442765530305414,68.1089312908716,54.0331177599318
"11",25,22,590675,8038,9975,0.028170692386413,0.0452455327050115,0.0313878627304137,73.4853197312764,59.2155388471178
"12",26,23,600264,13014,19994,0.0456100262150758,0.0459800473079799,0.0629141781886607,46.1244813278008,30.0222066619986
"13",27,24,521548,5810,6677,0.0203622446833864,0.0399504246687829,0.021010201448719,89.7672977624785,78.1111277519844
"14",28,25,1367470,56693,59266,0.198691349024995,0.104747803120366,0.186489531085784,24.12061453795,23.0734316471501
"15",29,33,1619336,24883,27310,0.0872071832111365,0.124040665253147,0.0859350908438694,65.0780050636981,59.2946173562798
"16",30,26,177162,2200,2326,0.00771031640334768,0.013570557523317,0.00731911465773856,80.5281818181818,76.1659501289768
"17",31,27,736562,15370,16529,0.0538670741452063,0.056420434350986,0.0520110258717802,47.9220559531555,44.5618004718979
"18",32,26,225481,3007,3293,0.0105386006476666,0.0172717788290662,0.0103619280171681,74.9853674758896,68.4728211357425
"19",33,33,408051,12704,13489,0.0445235725400586,0.0312565875749145,0.0424452010396541,32.1198835012594,30.2506486766995
"20",34,29,560430,4353,4942,0.0152559124108057,0.0429287745272266,0.0155507586580155,128.745692625775,113.40145690004
"21",35,30,582928,7163,7840,0.0251040892714452,0.044652114764747,0.0246697587775883,81.3804271953092,74.3530612244898
"22",36,32,1008950,32828,34512,0.115051939495044,0.0772852756976701,0.108597285067873,30.7344340197392,29.2347589244321
